Sample of Nvidia Stock Data,,,,,,,,,,,,
Date,Open,High,Low,Adj Close,Volume,Close,,Model_A_Predicted,Model_B_Predicted,,Difference _A,Difference_B
27-11-2023,478,485.299988,476.519989,482.35495,39566200,482.420013,,477.109317,483.1209234,,-5.310696,0.7009104
28-11-2023,482.359985,483.230011,474.730011,478.145508,40149100,478.209991,,472.9831912,476.7471156,,-5.2267998,-1.4628754
29-11-2023,483.790009,487.619995,478.600006,481.335083,38200500,481.399994,,478.2609025,482.840082,,-3.1390915,1.440088
30-11-2023,480.23999,481.100006,464.220001,467.636963,52624700,467.700012,,470.8863675,467.7182292,,3.1863555,0.0182172
01-12-2023,465.25,472,461.869995,467.586945,36880900,467.649994,,466.8579466,468.4421293,,-0.7920474,0.7921353
04-12-2023,460.769989,460.769989,450.100006,455.038635,43754300,455.100006,,452.624382,451.9133019,,-2.475624,-3.1867041
05-12-2023,454.660004,466,452.709991,465.638153,37171800,465.660004,,461.4536362,463.1679545,,-4.2063678,-2.4920495
06-12-2023,472.149994,473.869995,454.119995,455.008667,38059000,455.029999,,464.0597772,459.142209,,9.0297782,4.11221
07-12-2023,457,466.290009,456.040009,465.938141,35082300,465.959991,,462.0718575,464.4671579,,-3.8881335,-1.4928331
08-12-2023,465.950012,477.410004,465.5,475.03772,35880300,475.059998,,472.7074849,475.7658472,,-2.3525131,0.7058492
11-12-2023,474.910004,475.309998,458.299988,466.248108,50972800,466.269989,,465.0457702,461.5454054,,-1.2242188,-4.7245836
12-12-2023,460.459991,476.660004,460.459991,476.547638,37238700,476.570007,,471.5121647,474.9232617,,-5.0578423,-1.6467453
13-12-2023,476.290009,485.940002,476.079987,480.857452,44779200,480.880005,,479.5027999,484.445023,,-1.3772051,3.565018
14-12-2023,483.899994,486.700012,474.220001,483.477325,39123200,483.5,,478.021626,478.4413574,,-5.478374,-5.0586426
15-12-2023,481.940002,494.040009,481.200012,488.877075,47947800,488.899994,,488.2611909,491.8298299,,-0.6388031,2.9298359
18-12-2023,494,504.329987,491.5,500.74649,41258700,500.769989,,497.7993829,501.0132077,,-2.9706061,0.2432187
19-12-2023,494.23999,497,488.950012,496.016754,46444400,496.040009,,488.1324008,492.0474745,,-7.9076082,-3.9925345
20-12-2023,496.549988,499.98999,480.980011,481.087402,39789400,481.109985,,491.2924319,486.983077,,10.1824469,5.873092
21-12-2023,488.109985,490.950012,484.190002,489.877014,30042500,489.899994,,482.2119366,487.4319138,,-7.6880574,-2.4680802
22-12-2023,491.950012,493.829987,484.670013,488.277069,25213900,488.299988,,484.7303557,487.8381932,,-3.5696323,-0.4617948
26-12-2023,489.679993,496,489.600006,492.766907,24420000,492.790009,,488.3075152,495.323607,,-4.4824938,2.533598
27-12-2023,495.109985,496.799988,490.850006,494.14682,23364800,494.170013,,487.5877549,493.249352,,-6.5822581,-0.920661
28-12-2023,496.429993,498.839996,494.119995,495.196777,24658700,495.220001,,489.827069,496.7376102,,-5.392932,1.5176092
29-12-2023,498.130005,499.970001,487.51001,495.196777,38869000,495.220001,,490.7523295,491.0403129,,-4.4676715,-4.1796881
,,,,,,,,,,,,
,,,,,,,,,,Sample Mean,-2.576266467,-0.318975429
,,,,,,,,,,Sample SD,4.480015941,2.90910974
,,,,,,,,,,,,
,,,,,,,,,,,,
"Population:                          In the context of hypothesis testing for stock price prediction, the historical and future stock prices of Nvidia would be be the population.",,,,,,,,,,,,
,,,,,,,,,,,,
Sample : ,Stock price of Nvidia taken from 27th Nov - 29th Dec 2023,,,,,,,,,,,
,,,,,,,,,,,,
Null Hypothesis ,H0 : There is no significant difference in performance of linear regression models Model_A and Model_B.   ,,,,,,,,,,,
Alternate Hypothesis,Ha : Model B Outperforms than Model A  --> One tailed Test,,,,,,,,,,,
,,,,,,,,,,,,
Test-Statistics,,Model_ A,Model_B,,,,,,,,,
,sample size,24,24,,,,,,,,,
,Sample Mean,-2.576266467,-0.318975429,,,,,,,,,
,Sample SD,4.480015941,2.90910974,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Paired T-test,(Xa - Xb) /sqrt((s2a + s2b)/n)),,,,,,,,,,
,>>,,,,,,Critical Value,,,,,
,,,,,,,-1.713871528,,,,,
,,,,,,,,,,,,
>>,T-test  <  Critical Value. ------>> We reject the null hypothesis stating that there is no signifcance difference in performance of linear regression models.,,,,,,,,,,,
,,,,,,,,,,,,
Inference,,,,,,,,,,,,
>>,"The alternative hypothesis is supported, suggesting that Model B performs better than Model A. 
Implying that incorporating ""Low"" and ""Volume"" variables into the linear regression model resulted in improved performance.",,,,,,,,,,,
>>,"Implying that incorporating ""Low"" and ""Volume"" variables into the linear regression model resulted in improved performance.",,,,,,,,,,,
